"","ofi_insc","prov_insc","cant_insc","parr_insc","anio_insc","mes_insc","dia_insc","fecha_insc","hijos_rec","mcap_bie","nac_hom","cod_paish","anio_nach","mes_nach","dia_nach","fecha_nach","edad_hom","nmatanth","est_civih","p_etnica_hom","sabe_leerh","niv_insth","prov_habh","cant_habh","parr_habh","area_hom","nac_muj","cod_paism","anio_nacm","mes_nacm","dia_nacm","fecha_nacm","edad_muj","nmatantm","est_civim","p_etnica_muj","sabe_leerm","niv_instm","prov_habm","cant_habm","parr_habm","area_muj"
"59329",1,"Azuay","Cuenca","San Blas ",2014," Octubre ",17,13632883200,0,"No","Ecuatoriano","Ecuador ",1996," Enero ",2,13039920000,18,0,"Soltero","Mestizo","Si","Educación media /bachillerato","Azuay","Cuenca","Sinincay ","Rural","Ecuatoriana","Ecuador ",1998," Febrero ",5,13106016000,16,0,"Soltera","Mestiza","Si","Educación básica","Azuay","Cuenca","Sinincay ","Rural"
"59330",1,"Azuay","Cuenca","San Blas ",2014," Noviembre ",12,13635129600,0,"No","Ecuatoriano","Ecuador ",1983," Noviembre ",13,12656908800,30,0,"Soltero","Mestizo","Si","Superior","Azuay","Cuenca","Sucre ","Urbana","Ecuatoriana","Ecuador ",1983," Julio ",30,12647750400,31,0,"Soltera","Mestiza","Si","Superior","Azuay","Cuenca","Sucre ","Urbana"
"59331",1,"Azuay","Cuenca","San Blas ",2014," Noviembre ",14,13635302400,1,"No","Ecuatoriano","Ecuador ",1985," Enero ",25,12694838400,29,0,"Soltero","Mestizo","Si","Primaria","Azuay","Cuenca","Sinincay ","Rural","Ecuatoriana","Ecuador ",1986," Octubre ",23,12749788800,28,0,"Soltera","Mestiza","Si","Educación básica","Azuay","Cuenca","Sinincay ","Rural"
"59332",1,"Azuay","Cuenca","San Blas ",2014," Noviembre ",14,13635302400,0,"No","Ecuatoriano","Ecuador ",1992," Julio ",6,12929760000,22,0,"Soltero","Mestizo","Si","Superior","Azuay","Cuenca","Sinincay ","Rural","Ecuatoriana","Ecuador ",1998," Julio ",30,13121136000,16,0,"Soltera","Mestiza","Si","Primaria","Azuay","Cuenca","Sinincay ","Rural"
"59333",1,"Azuay","Cuenca","San Blas ",2014," Octubre ",18,13632969600,0,"No","Ecuatoriano","Ecuador ",1980," Marzo ",18,12541564800,34,0,"Soltero","Mestizo","Si","Educación básica","Azuay","Cuenca","Chiquintad ","Rural","Ecuatoriana","Ecuador ",1988," Diciembre ",19,12817872000,25,0,"Soltera","Mestiza","Si","Superior","Azuay","Cuenca","Chiquintad ","Rural"
"59334",1,"Azuay","Cuenca","San Blas ",2014," Octubre ",17,13632883200,0,"No","Ecuatoriano","Ecuador ",1971," Enero ",2,12251001600,43,1,"Divorciado","Mestizo","Si","Educación media /bachillerato","Azuay","Cuenca","Sinincay ","Rural","Extranjera","República Dominicana ",1970," Octubre ",9,12243657600,44,1,"Divorciada","Mestiza","Si","Educación media /bachillerato","Azuay","Cuenca","Sinincay ","Rural"
"59335",1,"Pichincha","Quito","Puéllaro ",2014," Septiembre ",18,13630377600,0,"Ignorado","Ecuatoriano","Ecuador ",NA,NA,NA,NA,30,0,"Soltero","Ignorado","Si","Ciclo posbachillerato","Pichincha","Quito","San José de Minas","Rural","Ecuatoriana","Ecuador ",NA,NA,NA,NA,24,0,"Soltera","Ignorado","Si","Ciclo posbachillerato","Pichincha","Quito","San José de Minas","Rural"
"59336",1,"Santa Elena","Santa Elena","Santa Elena, cabecera cantonal y capital provincial ",2014," Agosto ",22,13628044800,0,"No","Ecuatoriano","Ecuador ",1977," Noviembre ",11,12467433600,36,0,"Soltero","Mestizo","Si","Secundaria","Santa Elena","Santa Elena","Chanduy ","Rural","Ecuatoriana","Ecuador ",1986," Agosto ",6,12743049600,28,0,"Soltera","Mestiza","Si","Educación media /bachillerato","Santa Elena","Santa Elena","Chanduy ","Rural"
"59337",1,"Santa Elena","Santa Elena","Santa Elena, cabecera cantonal y capital provincial ",2014," Agosto ",22,13628044800,0,"No","Ecuatoriano","Ecuador ",1997," Septiembre ",6,13092883200,16,0,"Soltero","Mestizo","Si","Educación básica","Santa Elena","Santa Elena","Santa Elena, cabecera cantonal y capital provincial ","Urbana","Ecuatoriana","Ecuador ",1997," Julio ",6,13087526400,17,0,"Soltera","Mestiza","Si","Educación básica","Santa Elena","Santa Elena","Santa Elena, cabecera cantonal y capital provincial ","Urbana"
"59338",1,"Santa Elena","Santa Elena","Santa Elena, cabecera cantonal y capital provincial ",2014," Agosto ",29,13628649600,0,"No","Ecuatoriano","Ecuador ",1994," Octubre ",2,13000435200,19,0,"Soltero","Mestizo","Si","Educación básica","Santa Elena","Santa Elena","Santa Elena, cabecera cantonal y capital provincial ","Urbana","Ecuatoriana","Ecuador ",1993," Enero ",24,12947212800,21,0,"Soltera","Mestiza","Si","Primaria","Santa Elena","Santa Elena","Santa Elena, cabecera cantonal y capital provincial ","Urbana"
"59339",1,"Loja","Loja","Loja, cabecera cantonal y capital provincial ",2014," Octubre ",1,13631500800,1,"No","Ecuatoriano","Ecuador ",1989," Enero ",31,12821587200,25,0,"Soltero","Indígena","Si","Educación media /bachillerato","Loja","Loja","San Lucas ","Rural","Ecuatoriana","Ecuador ",1992," Febrero ",15,12917491200,22,0,"Soltera","Indígena","Si","Educación media /bachillerato","Loja","Loja","San Lucas ","Rural"
"59340",1,"Santa Elena","Santa Elena","Santa Elena, cabecera cantonal y capital provincial ",2014," Agosto ",28,13628563200,0,"No","Ecuatoriano","Ecuador ",1979," Junio ",6,12516854400,35,1,"Divorciado","Mestizo","Si","Educación básica","Santa Elena","Santa Elena","Santa Elena, cabecera cantonal y capital provincial ","Urbana","Ecuatoriana","Ecuador ",1984," Enero ",23,12663043200,30,0,"Soltera","Mestiza","Si","Primaria","Santa Elena","Santa Elena","Santa Elena, cabecera cantonal y capital provincial ","Urbana"
"59341",1,"Azuay","Cuenca","San Blas ",2014," Noviembre ",14,13635302400,0,"No","Ecuatoriano","Ecuador ",1982," Enero ",15,12599280000,32,0,"Soltero","Mestizo","Si","Primaria","Azuay","Cuenca","Sinincay ","Rural","Ecuatoriana","Ecuador ",1986," Diciembre ",20,12754800000,27,0,"Soltera","Mestiza","Si","Secundaria","Azuay","Cuenca","Sinincay ","Rural"
"59342",1,"Manabí","Chone","Chone, cabecera cantonal",2014," Mayo ",30,13620787200,0,"No","Ecuatoriano","Ecuador ",1989," Febrero ",21,12823401600,25,0,"Soltero","Mestizo","Si","Superior","Manabí","Bolívar","Calceta, cabecera cantonal ","Urbana","Ecuatoriana","Ecuador ",1995," Noviembre ",3,13034736000,18,0,"Soltera","Ignorado","Si","Educación media /bachillerato","Manabí","Bolívar","Calceta, cabecera cantonal ","Urbana"
"59343",1,"Manabí","Portoviejo","Portoviejo, cabecera cantonal y capital provincial",2014," Noviembre ",27,13636425600,0,"No","Ecuatoriano","Ecuador ",1992," Noviembre ",13,12940992000,22,0,"Soltero","Mestizo","Si","Primaria","Manabí","Portoviejo","Crucita ","Rural","Ecuatoriana","Ecuador ",1987," Junio ",15,12770092800,27,0,"Soltera","Mestiza","Si","Secundaria","Manabí","Portoviejo","Crucita ","Rural"
